chunk1,chunk2,value,explanation
looking,is looking up,4,SPE2
A brown and white cow,The black and white cat,2,SIMI
into the camera,at the camera,5,EQUI
along the beach,'s shore,4,SIMI
walking,walk,5,EQUI
A man and a woman,A man,2,SIMI
A black and white dog,A small black and white goat,2,SIMI
at the camera,at the camera,5,EQUI
looking,looking up,4,SPE2
Red double decker bus,A red double decker bus,5,EQUI
A young boy,A young blonde girl,3,SPE2
A group,A group,5,EQUI
of people,of four people,4,SPE2
The cat,Than horse,2,SIMI
in front of a door,in front of a fence,3,SIMI
is sitting,standing,2,SIMI
A man,A runner,2,SPE2
in a riding hat,riding,3,REL
on a horse,a brown horse,4,SPE2
A girl,A girl,5,EQUI
A group,A group,5,EQUI
of peoples,of cyclists,2,SPE2
A car,A silver car,4,SPE2
of the road,of the road,5,EQUI
the side,on the side,5,EQUI
is lying,lies,5,EQUI
The black dog,A black dog,5,EQUI
in the grass,on the grass,5,EQUI
Large white cruise ship,Large cruise ship,4,SPE1
floating,floating,5,EQUI
on water,on the water,5,EQUI
with a motorcycle,with a classic motorcycle,4,SPE2
a car,in a classic car,4,SPE2
A black and white photo,A black and white photo,5,EQUI
of a man,of a man,5,EQUI
someone,a man,3,SPE2
on the gloved hand,'s gloved hand,5,EQUI
of a person,on a person,5,EQUI
perches,is perched,5,EQUI
A blue bird,A bird,4,SPE1
riding on,riding,5,EQUI
a brown and white horse,a brown horse,4,SPE1
A girl,A girl,5,EQUI
in a riding hat,riding,3,REL
A girl,A girl,5,EQUI
on a horse,a tan horse,4,SPE2
is sitting,is perched,5,EQUI
The bird,A red and brown bird,3,SPE2
on the branch,on branches,4,SIMI
at a black sheep,at a brown sheep,4,SIMI
looks,looking,5,EQUI
A black and tan dog,A black dog,4,SPE1
jumping,jumping,5,EQUI
a man,A man,5,EQUI
very high,with the sky,2,REL
on a dirt bike,on a motorbike,4,SPE1
The man,A man,5,EQUI
at a messy table,on a messy table,5,EQUI
a laptop,a laptop computer,5,EQUI
is sitting,sits,5,EQUI
Four children,Children,4,SPE1
at barn animals,a sheep,2,SPE2
looking,looking,5,EQUI
is standing,standing,5,EQUI
next to a car,next to a small red vehicle,3,SPE2
A scantily clad woman,A scantily clad woman,5,EQUI
A red and blue plane,A WWII fighter plane,3,SIMI
down,down,5,EQUI
with its landing gears,with its landing gear,5,EQUI
in a restaurant,in an Italian restaurant,4,SPE2
Four women and two men,A group,4,SPE1
at a long table,at a table,4,SPE1
sit,sit,5,EQUI
with a blue halter,a blue halter,5,EQUI
Close up,A close up,5,EQUI
of a brown horse,of a horse,4,SPE1
in a rural area,in a field,4,SPE2
A yellow school bus,A yellow school bus,5,EQUI
is parked,parked,5,EQUI
A sheep,Woolly sheep,4,SPE2
at auction,at auction house,4,SPE2
a train,The train,5,EQUI
on his tracks,the track,5,EQUI
rides,comes down,3,SPE2
on a city street,on a city street,5,EQUI
A double decker red United bus,A double decker bus,4,SPE1
on a carpeted floor,on white carpeting,4,SPE2
A tan puppy,Tan puppy,5,EQUI
A young girl,A woman,4,SPE1
riding,in riding,5,EQUI
a brown horse,a brown horse,5,EQUI
in a station,in a station,5,EQUI
Train,a train,5,EQUI
standing,standing,5,EQUI
A blue bird,Blue bird,5,EQUI
on a lawn,on green grass,5,EQUI
a horse,on the brown horse,4,SPE2
A woman equestrian,The woman,4,SPE1
riding,is riding,5,EQUI
going down,traveling,4,SIMI
Train,A black steam train,4,SPE2
the tracks,on the railroad tracks,5,EQUI
A large cruise ship,A cruise ship,4,SPE1
in harbor,at a coast,3,SPE1
a road intersection,a paved street,3,SIMI
crossing,cross,5,EQUI
Two cows,Two cows,5,EQUI
in a plain,in a field,4,SIMI
stands,standing,5,EQUI
A black cow and a brown cow,A black cow and a brown cow,5,EQUI
in front of an uprooted tree,in front of a small copse,3,SPE1
at a table,at a restaurant table,4,SPE2
of people,of people,5,EQUI
eat,sitting,3,REL
A group,A group,5,EQUI
sitting,sitting,5,EQUI
at a restaurant table,at table,5,EQUI
A group,Group,5,EQUI
of people,of people,5,EQUI
the window,at a window,5,EQUI
looking out,are looking,4,SIMI
Two cats,Two cats,5,EQUI
cutting,cuts,5,EQUI
into food,a cake,3,SPE2
in blue shift dress,in a blue dress,5,EQUI
Woman,A woman,5,EQUI
atop a red an yellow motorcycle,on a red and yellow motorcycle,5,EQUI
Two brunette girls,A couple,3,SPE1
sit,posing,4,REL
A man,A man,5,EQUI
of a red tandem bicycle,of a tandem bicycle,4,SPE1
on the back seat,on the back,4,SPE1
A computer,A computer,5,EQUI
on a desk,on a desk,5,EQUI
Home office space,Small office space,4,SPE1
with bright green walls and artwork,with bright green walls,3,SPE1
on a beach,on shore,4,SPE1
Yellow boat,A yellow boat,5,EQUI
on the blue clothed dining table,with a blue table cloth,4,SPE1
A kitchendiner,A small kitchen and a cluttered table,3,SPE2
is sitting,is standing,2,SIMI
on the window ledge,on the window sill,5,EQUI
looking,looking,5,EQUI
A gray cat,The cat,4,SPE1
at the camera,at the camera,5,EQUI
taking of,taking off,5,EQUI
A green and white cargo plane,White and green commercial airliner,4,SIMI
from an airport,of runway,4,SPE2
inside and black and white furry enclosure,"inside a cow-schemed , fur-covered dome",5,EQUI
are,are sitting,4,SIMI
Two cats,Two baby kittens,4,SPE2
A close-up view,A side view,3,SIMI
of a horse,of a horse,5,EQUI
's head,'s head,5,EQUI
An old fashioned wooden sailing ship,A wooden yacht,3,SIMI
in the ocean,on the ocean,5,EQUI
A white plane,A white airplane,5,EQUI
on the runway,on a runway,5,EQUI
Elegant dining room,An elegant pink dining room,4,SPE2
with wood furniture,with wooden furniture,5,EQUI
jumping,jumping,5,EQUI
A man,A man,5,EQUI
his dirt bike,on a bike,4,SPE1
with green eyes,with green eyes,5,EQUI
at the camera,into the camera,5,EQUI
A gray cat,A gray cat,5,EQUI
looks,looking,5,EQUI
is sitting,sitting,5,EQUI
A black and white cat,Black and white cat,5,EQUI
looking up,looking up,5,EQUI
on a brown chair,on wood chair,4,SIMI
A man,A man and woman,5,EQUI
with a wine bottle,with a bottle,5,EQUI
Boy,A boy,5,EQUI
a sheep,a sheep hay,4,REL
feeding,feeding,5,EQUI
is standing,stands,5,EQUI
on the green hill,on a hillside,4,SPE1
The white sheep,A sheep,4,SPE1
of a dilapidated wooden fence,of an old wooden fence,5,EQUI
A black and white photo,A black and white photo,5,EQUI
taxing,sitting,2,SIMI
along a runway,on the tarmac,4,SPE1
An AeroMexico jet,A silver AreoMexico Jet Liner,4,SPE2
of people,of people,5,EQUI
A group,A group,5,EQUI
sitting,sitting,5,EQUI
around a table,around a table,5,EQUI
is parked,parked,5,EQUI
A bicycle,A green bike,4,SPE2
outside a bookstore,outside a book store,5,EQUI
window,of a window,5,EQUI
looking out,looking out,5,EQUI
Domestic cat,A white cat,4,SIMI
in a living room,in a living room,5,EQUI
with a black dog,with a black dog,5,EQUI
Two women,Two women,5,EQUI
stand,standing,5,EQUI
a red canoe,in a red canoe,5,EQUI
Two people,Two people,5,EQUI
paddling,paddling,5,EQUI
push,walking,4,SPE1
A woman and child,A women and a young girl,4,SPE2
down the sidewalk,along the sidewalk,5,EQUI
strollers,pushchairs,5,EQUI
around a table,around a table,5,EQUI
of people,of people,5,EQUI
sitting,sitting,5,EQUI
A group,A group,5,EQUI
on a blanket,on a purple blanket,4,SPE2
A black and white cat,A black and white cat,5,EQUI
lying,sleeping,4,SPE2
A red and gray train,A red and gray train,5,EQUI
is going,travels,5,EQUI
through a tunnel,through a tunnel,5,EQUI
of a living room,A living room,5,EQUI
in the background,in the background,5,EQUI
with a dining room,with large sofas and a dining table,2,SPE2
a bike helmet,a helmet,4,SPE1
A person,A person,5,EQUI
wearing,wearing,5,EQUI
by a shop,outside a book store,4,SPE2
A bicycle,A green bike,4,SPE2
is parked,parked,5,EQUI
driving,driving,5,EQUI
Red double decker bus,Red double decker bus,5,EQUI
through the streets,down a street,4,SIMI
laying,lying,5,EQUI
on a brown table,on a wooden table,4,SIMI
A gray cat,A gray cat,5,EQUI
A close-up,A close-up,5,EQUI
of a brown horse,of a horse,4,SPE1
A black and white image,Black and white picture,5,EQUI
laying,laying,5,EQUI
on a rug,on a rug,5,EQUI
of a cat,of a cat,5,EQUI
A pile,Pile,5,EQUI
with a chair,with chair,5,EQUI
of used wooden building materials,of wooden debris,4,SPE2
on top,on top,5,EQUI
with multiple desks and green walls,with bright green walls,2,SPE1
An office,Small office space,4,SPE2
on a flowerpot,on a flowerpot,5,EQUI
A bird,Bird,5,EQUI
perched,perched,5,EQUI
on top,on a horse,5,EQUI
Young woman,Young girl,4,SIMI
in riding gear,in riding gear,5,EQUI
A small bird,A small bird,5,EQUI
on a tiny branch,on an icy branch,3,SIMI
a wheelie,a wheelie,5,EQUI
performing,performing,5,EQUI
A man,Motorcyclist,5,EQUI
on the brown horse,on a brown horse,5,EQUI
The young rider,A young female rider,4,SPE2
to wood,against a wooden box,3,SPE2
with nose,with its nose,5,EQUI
Little white lamb,A white lamb,5,EQUI
riding,is riding,5,EQUI
a white and gray horse,a white and gray horse,5,EQUI
A young girl,a little girl,4,SIMI
in the water,on the water,5,EQUI
is flapping,flapping,5,EQUI
A bird,A black swan,3,SPE2
its wings,its wings,5,EQUI
Young woman,The woman,4,SPE1
on top,on the brown horse,4,SPE2
in riding gear,is riding,3,REL
rowing,row,5,EQUI
down a river,in water,4,SPE1
Four people,Four people,5,EQUI
A kitchen,Kitchen,5,EQUI
with wooden cabinets and furniture,with wooden table and cabinets,4,SPE2
from a bird feeder,on a bird feeder,5,EQUI
A bird,A yellow bird,4,SPE2
eating,eating,5,EQUI
talking,talking,5,EQUI
in front of a plane,in front of a small plane,4,SPE2
Two men,Two men,5,EQUI
wearing,wearing,5,EQUI
A young blonde girl,A young girl,4,SPE1
a smile and a bicycle helmet,a bike helmet,3,SPE1
at the train station,at a train station,5,EQUI
The train,A train,5,EQUI
sits,parked,5,EQUI
eating,eating,5,EQUI
A small bird,Bird,4,SPE1
from the feeder,from a bird feeder,5,EQUI
Two brown horses,Brown horse,4,SIMI
in grassy field,in middle,4,SPE2
standing,standing,5,EQUI
is perched,perched,5,EQUI
A red bird,A small red and gray bird,3,SPE2
in a tree,in a tree,5,EQUI
on couch,on a sofa,5,EQUI
Boy,A small boy,4,SPE2
lying,laying,5,EQUI
with small white dog,with a dog,3,SPE1
traveling,traveling,5,EQUI
on the railroad tracks,on the railroad tracks,5,EQUI
A green steam engine,A black steam train,4,SIMI
The man,A man,5,EQUI
in front of the train,in front of a silver train,4,SPE2
poses,stands,4,REL
A kitchen sink and countertop,A small kitchen,3,REL
on shelves,on the shelves and on the counter,3,SPE2
with bowls,with items,3,SPE1
a bicycle,a mountain bike,4,SPE2
riding,riding,5,EQUI
A woman,A women,5,EQUI
on a large concrete area,on a large concrete area,5,EQUI
A man,A man,5,EQUI
next to a yellow sports car,next to a yellow Corvette,4,SPE2
is standing,stands,5,EQUI
with a white horse,a white horse,5,EQUI
A woman,A woman,5,EQUI
Older gentleman,A man,4,SPE1
at red motorcycle,at a red motorcycle,5,EQUI
looking,looking,5,EQUI
in front of a train,in front of a silver train,4,SPE2
stands,stands,5,EQUI
A man,A man,5,EQUI
near a small plane,a small airplane,5,EQUI
A boat,A boat,5,EQUI
on the water,in the water,5,EQUI
is,is,5,EQUI
sitting,pose,4,REL
around a table,around a dining table,4,SPE2
Group,A group,5,EQUI
of elderly people,of elderly people,5,EQUI
The brown and white cows,Brown and white cows,5,EQUI
in the trough,from a trough,5,EQUI
are eating,are eating,5,EQUI
towards a wooden telephone pole,above the telephone wires,2,SIMI
Two green birds,Two green birds,5,EQUI
fly,flying,5,EQUI
stands,is standing,5,EQUI
in front of a `` Going Places '' bus,in front of the open door,3,SIMI
A young woman,TThe girl,4,SIMI
perched,is perched,5,EQUI
on a gloved hand,'s gloved hand,5,EQUI
A blue bird,A bird,4,SPE1
A baby,A baby,5,EQUI
a ketchup packet,a ketchup packet,5,EQUI
holds,holds,5,EQUI
on the sofa,on the back,4,SPE2
sitting,sit,5,EQUI
looking out,looking out,5,EQUI
the window,the window,5,EQUI
Two cats,Two cats,5,EQUI
standing,standing,5,EQUI
in a field,in a field,5,EQUI
A dark brown horse,Horse,4,SPE1
on a sidewalk,on the sidewalk,5,EQUI
parked,parked,5,EQUI
A blue scooter,A blue moped,4,SPE1
A black and white cat,A black and white cat,5,EQUI
Three people,Two elderly women,3,SPE2
sitting,sit,5,EQUI
at dinner table,at a dinner table,5,EQUI
traveling,is,2,SIMI
on the street,on the street,5,EQUI
A white and red bus,The red bus,4,SPE1
in the water,in the water,5,EQUI
A large black bird,The birds,2,SPE1
is sitting,are swimming,2,SIMI
is sitting,is standing,2,SIMI
on boat,A wooden yacht,4,SPE2
on the water,on the ocean,4,SPE2
The television and desk,A television and a laptop computer,3,SIMI
of hotel room,on in a hotel room,5,EQUI
A woman,A person,4,SPE1
wearing,wearing,5,EQUI
A close-up picture,A close-up picture,5,EQUI
Two women,A woman,4,SIMI
with a baby,with a baby,5,EQUI
posing,poses,5,EQUI
inside a train station,at the train station,5,EQUI
Two trains,The train,4,SIMI
A man and two women,A man and women,4,SPE1
at the camera,at the camera,5,EQUI
while sitting,while standing,2,SIMI
smiling,smiling,5,EQUI
in a bright room,in a living room,3,SIMI
"A television , upholstered chair , and coffee stable",A leather couch and wooden table,1,SIMI
Tan cow,sheep,2,SIMI
on a grassy field,in grassy field,5,EQUI
A close-up,A close-up,5,EQUI
A bay foal,of young horse,4,SPE1
is walking,walking,5,EQUI
next to its mother,next to a larger horse,4,SPE1
A small child,A small child,5,EQUI
in front of a building,in front of a dining room,1,REL
A woman,Two women and a baby,2,SPE2
stands,pose,3,REL
on table,on the table,5,EQUI
sitting,sitting,5,EQUI
Young baby girl,with a smiling baby,3,SIMI
A black and white cow,Black and white cows,4,SIMI
in a pen,behind a fence,3,SIMI
for the camera,at the camera,5,EQUI
standing,sitting,2,SIMI
A black and white horned cow,of a cat,2,SIMI
at a restaurant table,around a table,4,SPE1
of people,of people,5,EQUI
A group,A group,5,EQUI
sitting,sitting,5,EQUI
in a field,in a green field,4,SPE2
is sitting,sitting,4,SIMI
The cat,Two eagles,1,SIMI
is looking up,looking,4,SPE1
at the camera,at the camera,5,EQUI
The black and white cat,A black and white dog,3,SIMI
sitting,sitting,5,EQUI
of a bottle,A bottle,4,SPE2
atop a rock carving,on a stone,3,REL
of the yard,in the field,4,SPE1
sits,standing,2,SIMI
A lone cow,a black and white cow,4,SIMI
A girl,A girl,5,EQUI
in the background,in the background,5,EQUI
standing,stands,5,EQUI
Two brown horses,A brown horse,4,SIMI
in a green meadow,in tall grass,4,SIMI
in the snow,on the snow,5,EQUI
sitting,stand,2,SIMI
A red bird and four other birds,Five birds,4,SPE1
at the dinner table,around a dining table,5,EQUI
poses,pose,5,EQUI
An older Asian couple,A group,3,SPE1
with a pillow,on an animal print blanket,1,SPE2
A cat,The cat,5,EQUI
sleeping,is laying,4,SPE1
driving,driving,5,EQUI
Cars,Vehicles,4,SPE1
near a model building,infant of an ornate building,3,SIMI
A young woman,A man,3,SPE1
a Bay hose,at a horse,4,SPE1
A woman,Four women and two men,2,SPE2
at the dining table,at a long table,4,SPE2
A man,A woman,3,SIMI
a white horse,a white horse,5,EQUI
riding,leading,4,SIMI
laying,laying,5,EQUI
A white cat,A white cat,5,EQUI
Two men,Two women,3,SIMI
standing,standing,5,EQUI
A woman,A man,3,SIMI
a white horse,on a white horse,5,EQUI
a brown horse,brown horse,5,EQUI
riding,riding,5,EQUI
A woman,Person,3,SPE1
A passenger train,A passenger train,5,EQUI
the tracks,on train tracks,5,EQUI
A black train,A long train,4,SIMI
in a living room,in a living room,5,EQUI
Blue couch and twin bed,A leather couch and wooden table,1,SIMI
A white leather couch,A television,2,REL
Two buses,Yellow scooter,2,SIMI
on a street,in an alley way,4,SPE2
parked,parked,5,EQUI
sitting,is sitting,4,SIMI
A woman,A man,3,SIMI
up,up,5,EQUI
a baby,a baby,5,EQUI
above her,above him,3,SIMI
holding,holding,5,EQUI
on the floor,on the floor,5,EQUI
is laying down,is laying,5,EQUI
sleeping,laying,4,SPE1
A black and white cat,A black and white cat,5,EQUI
Two women,Two women,5,EQUI
A yellow and black bird,A flock,2,SPE1
in afield,in a field,5,EQUI
sheep,next to a sheep,5,EQUI
standing,stands,5,EQUI
A black and white photo,A black and white photo,5,EQUI
standing,standing,5,EQUI
Black bird,Blue bird,4,SIMI
Several people,People,5,EQUI
on motorcycles,mopeds,5,EQUI
in a market square,in an urban setting,4,SPE1
Domestic cat,Tan domestic cat,4,SPE2
standing,standing,5,EQUI
looking up,looking up,5,EQUI
at the camera,at the camera,5,EQUI
A small cat,The small dog,2,SIMI
look,looking,5,EQUI
at the camera,at the camera,5,EQUI
Tan cows,A white and gray cat,2,SIMI
A battery to a bulb,the bulb and the battery,5,EQUI
should connect,are,3,SIMI
in a closed path.,in a closed path,5,EQUI
is connected,is connected,5,EQUI
to the battery terminal.,to the negative battery terminal,4,SPE2
thebulb terminal,terminal 1,4,SPE2
in a closed path,in closed paths,4,SPE1
Bulb A and C,Bulbs A and C,5,EQUI
with the battery,with the battery,5,EQUI
still,still,5,EQUI
will be contained,are,4,SIMI
the voltage,different electrical states,3,REL
of the battery.,A battery,5,EQUI
to the battery,with the battery.,5,EQUI
a closed path,in the same closed path,4,SPE2
from terminal 1 and 2,Terminals 1 and 2,5,EQUI
between any two terminals.,"Terminals 1, 2 and 3",2,SPE2
within closed paths,in a closed path,4,SPE2
are contained,are,5,EQUI
Bulb A and B,bulbs A and B,5,EQUI
are,are,5,EQUI
on a path,in the same path,4,SPE2
"bulbs a, b, and c",A and C,3,SPE2
were,are,4,SIMI
on closed paths,in closed paths,5,EQUI
still,still,5,EQUI
contained,contained,5,EQUI
Bulbs A and C,Bulbs A and C,5,EQUI
with the batery,with the battery,5,EQUI
is connected,are connected,5,EQUI
Terminal five to the positive battery terminal.,Terminal 5 and the positive terminal,5,EQUI
electricity,different electrical states,4,REL
the battery,A battery,5,EQUI
terminal 1 to the positive terminal,Terminal 1 and the positive terminal,5,EQUI
is connected,are separated,4,OPPO
contained,are not,4,OPPO
"""bulb A""""s path switch Z""",Switch Y and bulb A in the same closed path,2,REL
"in an open path,",in a closed path,4,OPPO
was,was not,4,OPPO
Bulb C,Bulb C,5,EQUI
will be a gap,are not connected.,4,SIMI
between the positive battery terminal and the bulb terminal,the terminals,3,SPE1
is connected,is connected,5,EQUI
terminal 1,terminal 1,5,EQUI
to the negative battery terminal,to the negative battery terminal,5,EQUI
between the bulb terminal and the battery terminal.,the terminals,3,SPE1
is no connection,are not connected,5,EQUI
is not connected,are not connected,5,EQUI
terminal 1 to terminal 6.,Terminals 1 and 6,5,EQUI
for bulb a,Bulb A,5,EQUI
to a battery,with the battery.,5,EQUI
within a closed path,in a closed path,5,EQUI
Bulb A and B,A and B,5,EQUI
still,still,5,EQUI
are contained,are,5,EQUI
at the negative connection.,the battery,4,REL
to the positive battery terminal,to the negative battery terminal,4,OPPO
terminal 1,terminal 1,5,EQUI
is connected,is connected,5,EQUI
off,an incomplete circuit,4,REL
without bulb B,Bulbs A and C,3,SPE2
other closed path,in a closed path,5,EQUI
to the negative terminal of the battery,in the same electrical state,3,REL
are connected,are connected,5,EQUI
Terminal 1 and terminal 2,Terminals 1 and 2,5,EQUI
with the battery.,with the battery,5,EQUI
bulb b and c,B and C,5,EQUI
are contained,are,5,EQUI
in the same path,in the same path,5,EQUI
a gap,no gap,4,OPPO
there,there,5,EQUI
is,is,5,EQUI
are,is,5,EQUI
within the same path,in its own path,3,SPE2
bulb A and B,each bulb,3,SPE1
does not affect,are not,3,SIMI
switch Y of bulb A,Switch Y and bulb A,5,EQUI
the closed circuit,in the same closed path,4,REL
in a closed circuit,in closed paths,4,REL
with the battery terminal,with the battery,5,EQUI
were,are contained,4,SIMI
still,still,5,EQUI
the paths,Bulbs A and C,4,REL
is,is contained,5,EQUI
the battery,the battery,5,EQUI
on a closed path,in a closed path,5,EQUI
Circuit 4,in 4,5,EQUI
in a closed path.,in a closed path,5,EQUI
the battery,The battery,5,EQUI
is not contained,is not,5,EQUI
are connected,are,5,EQUI
still,still,5,EQUI
bulbs A and B,A and B,5,EQUI
to the closed circuit,in a closed path,4,REL
containing the battery,with the battery,5,EQUI
the voltage,different electrical states,3,REL
the terminals,at the terminals,5,EQUI
of the battery,A battery,5,EQUI
bulb b and c,bulbs B and C,5,EQUI
in a closed path,in closed paths,4,SPE1
still,still,5,EQUI
with the battery.,with the battery,5,EQUI
are,are,5,EQUI
with the battery,with the battery,5,EQUI
are contained,are,5,EQUI
in different paths,in different paths,5,EQUI
bulbs a and c,A and C,5,EQUI
is not separated,are not separated,5,EQUI
positive battery terminal from terminal 4,Terminal 4 and the positive terminal,5,EQUI
by a gap,by the gap,5,EQUI
is,are,5,EQUI
of the two terminals,The terminals,4,SPE1
no difference in electrical states,in the same state.,5,EQUI
does not effect,does not include,3,SIMI
bulbs B and C,with B and C,5,EQUI
switch X,X,5,EQUI
There,there,5,EQUI
a gap,a gap,5,EQUI
is,is,5,EQUI
in the circut.,in the circuit,5,EQUI
The battery terminals,at the terminals,5,EQUI
different electrical states.,different electrical states,5,EQUI
the terminals,"Terminals 1, 2 and 3",4,SPE2
to the negative terminal of the battery.,to the negative battery terminal,5,EQUI
are connedted,are connected,5,EQUI
for bulb A,"Switch Z, Switch X, Bulbs A and C and the battery",1,SPE1
switches X and Z,"Switch Z, Switch X, Bulbs A and C and the battery",2,SPE1
the closed circuit,a closed path,4,REL
each bulb,each bulb,5,EQUI
has,is,4,SIMI
its own pathway,in its own path,5,EQUI
a gap in the circuit,in a closed path,4,REL
that,in a closed path,4,OPPO
C,Bulb C,5,EQUI
was,was not,4,OPPO
in different paths,in different paths,5,EQUI
Blub A and bulb C,A and C,5,EQUI
with the same battery.,with the battery,4,SPE1
are contained,are,5,EQUI
bulbs a and c,A and C,5,EQUI
ina closed path,in the same path,4,SPE2
are not contained,are not,5,EQUI
terminal 4 to the positive terminal,Terminal 4 and the positive terminal,5,EQUI
is connected,are connected,5,EQUI
the path,in the same path,4,SPE2
"with the battery,",a bulb and a switch,3,REL
the switch,the switch,5,EQUI
doesnt affect,affects,4,OPPO
if,If,5,EQUI
are connected,are connected,5,EQUI
"terminals 4,5, and 6","Terminals 4, 5 and 6",5,EQUI
to the positive terminal,to the positive battery terminal,5,EQUI
the voltage,different electrical states,3,REL
within the battery,A battery,5,EQUI
the bulb,the battery,3,REL
no difference,in the same electrical state,2,SIMI
terminal 1 and terminal 2,Terminals 1 and 2,5,EQUI
is connected,are connected,5,EQUI
terminal 6 to postive end of battery and the voltage meter,Terminal 6 and the positive terminal,3,SPE2
are connected,are connected,5,EQUI
the two terminals,Terminal 6 and the positive terminal,4,SPE2
the same,in the same electrical state,2,SIMI
terminal 1 and terminal 4,Terminals 1 and 4,5,EQUI
was not,is,4,OPPO
Switch Y of bulb A.,both,5,EQUI
on the path,no path,4,OPPO
Switch Y of bulb A.,switch Y and bulb A,5,EQUI
is seperated,is no gap,4,OPPO
The positive battery terminal from the negative battery terminal,between the terminals,4,SPE1
was not connected,was no longer,5,EQUI
to the battery.,with the battery,5,EQUI
bulb c,Bulb C,5,EQUI
a gap in the path,in a closed path,4,OPPO
Bulb A,bulb A,5,EQUI
is connected,are connected,5,EQUI
a terminal to the positive terminal of the battery,Terminal 4 and the positive terminal,4,SPE2
the path open,an open path,5,EQUI
bulb C,Bulb C,5,EQUI
was not contained,was,4,OPPO
with the battery,with the battery,5,EQUI
in a closed path,in a closed path,5,EQUI
still,no longer,4,OPPO
bulbs a and c,A and C,5,EQUI
have to be contained,must be contained,5,EQUI
Bulbs,The damaged bulb and the other bulb,3,SPE2
in closed paths,in the same path,3,SPE2
to the battery.,with the battery,5,EQUI
still,still,5,EQUI
on a closed path,in a closed path,5,EQUI
bulb A,Bulb A,5,EQUI
will be contained,is,4,SIMI
a closed path,in closed paths,4,SPE1
still,still,5,EQUI
had,are contained,4,SIMI
Bulb A and C,Bulbs A and C,5,EQUI
with the battery.,with the battery,5,EQUI
is contained,is contained,5,EQUI
with the battery,with the battery.,5,EQUI
bulb a,Bulb A,5,EQUI
in a closed path,in a closed path,5,EQUI
did not effect,are not in the same closed path,2,SIMI
Switch Y bulb A,Switch Y and bulb A,5,EQUI
the path was closed,in a closed path,5,EQUI
creates,creates,5,EQUI
The damaged bulb,a damaged bulb,5,EQUI
a gap,a gap,5,EQUI
The battery,The battery,5,EQUI
in a closed path.,in a closed path,5,EQUI
is not,is not,5,EQUI
by a gap,by the gap,5,EQUI
is not separated,are not separated,5,EQUI
the positive battery terminal from terminal 6.,Terminal 6 and the positive terminal,5,EQUI
in the path,in a path,5,EQUI
of the circuit,The battery,2,REL
in the path,which,5,EQUI
the bulb,any other components,2,SPE1
is not connected,are not connected,5,EQUI
the terminal to the battery terminal,the terminals,4,SPE2
there,there,5,EQUI
is,is,5,EQUI
a gap.,a gap,5,EQUI
a closed path.,the path,5,EQUI
is not,is not closed,5,EQUI
is not anymore,was no longer,5,EQUI
for bulb c,Bulb C,5,EQUI
a closed circuit,in a closed path,4,REL
in the circuit,in a circuit,5,EQUI
a gap,a gap,5,EQUI
there,there,5,EQUI
would be,is,4,SIMI
with the battery,with the battery,5,EQUI
in a closed path,in closed paths,4,SPE1
remain,are still,5,EQUI
bulbs b and c,bulbs B and C,5,EQUI
on a closed path,in a closed path,5,EQUI
battery,The battery,5,EQUI
on a closed path,which,5,EQUI
is contained,is contained,5,EQUI
the bulb holder,in a circuit,2,REL
a gap,a gap,5,EQUI
There,there,5,EQUI
will be,is,4,SIMI
in a closed path,in closed paths,4,SPE1
bulb a and bulb c,Bulbs A and C,5,EQUI
with the battery.,with the battery,5,EQUI
contained,contained,5,EQUI
still,still,5,EQUI
were,are,4,SIMI
in a closed circuit,in a closed path,4,REL
a and c,Bulbs A and C,4,SPE2
are,are,5,EQUI
The terminal to a negative terminal.,between the terminals,4,SPE1
is connected,is no gap,4,REL
are,are,5,EQUI
"Bulb A, bulb B and bulb C",A and C,3,SPE1
in different closed paths.,in different paths,5,EQUI
is,are contained,5,EQUI
when,When,5,EQUI
on a closed path,in the same path,4,SPE2
the switch with the bulb,the switch and the bulb,5,EQUI
the bulb with a switch,the switch and the bulb,5,EQUI
is contained,are contained,5,EQUI
in a closed path,in the same path,4,SPE2
if,When,3,SIMI
as the battery,containing the battery,5,EQUI
in the same closed path,in the closed path,5,EQUI
the blub,The bulb,5,EQUI
is not contained,is not,5,EQUI
the two terminals,at the terminals,4,SPE1
different electrical states.,different electrical states,5,EQUI
the circuit path incomplete.,an incomplete circuit,4,REL
the positive battery terminal,Terminal 1 and the positive terminal,4,SPE1
by a gap,by the gap,5,EQUI
is separated,are separated,5,EQUI
in a closed circuit,in the same closed path,4,REL
were,were,5,EQUI
contained,contained,5,EQUI
B and C,Bulb B and Bulb C,4,SPE2
with the battery,with the battery.,5,EQUI
still,still,5,EQUI
bulbs A and C,A and C,4,SPE1
are not contained,are not,5,EQUI
in the same closed path.,in the same path,5,EQUI
terminal 1 to terminal 4,Terminals 1 and 4,5,EQUI
is connected,are connected,5,EQUI
with the battery,with the battery.,5,EQUI
bulb b and c,Bulb B and Bulb C,5,EQUI
still,still,5,EQUI
were,were contained,5,EQUI
in a closed path,in the same closed path,4,SPE2
B AND C,B and C,5,EQUI
A,A,5,EQUI
SHARE,containing,4,SIMI
IS,containing,4,SIMI
ON ITS ON PATH,a path,4,SPE1
A PATH,a different path,4,SPE2
the circut is not complete,an incomplete circuit,5,EQUI
containing,containing,5,EQUI
a closed circuit,a closed path,4,REL
a bulb and a battery,the bulb and a battery,5,EQUI
